,Psi,r(Psi),f_mu(Psi),f_sigma(Psi)
240,2.9132732732732736,-0.22428780382856606,-0.7557097808865132,1.9740528357423195
241,2.9252452452452458,-0.22719608417206485,-0.7686021049834715,1.9779694821911857
242,2.9372172172172175,-0.23009038937231882,-0.781527668777551,1.9818822426972955
243,2.9491891891891893,-0.23297084227687082,-0.7944863730060508,1.9857911285266114
244,2.9611611611611615,-0.23583756416809695,-0.8074781189988552,1.989696150916049
245,2.9731331331331337,-0.2386906747893286,-0.8205028086731795,1.9935973210730067
246,2.9851051051051054,-0.24153029237042667,-0.8335603445283378,1.997494650174886
247,2.997077077077077,-0.24435653365283783,-0.8466506296406033,2.001388149368653
248,3.0090490490490494,-0.2471695139141336,-0.8597735676581125,2.005277829770416
249,3.0210210210210215,-0.24996934699205153,-0.8729290627958365,2.009163702465019
250,3.0329929929929933,-0.25275614530804674,-0.8861170198306054,2.0130457785056595
251,3.044964964964965,-0.2555300198903681,-0.8993373440961927,2.0169240689135175
252,3.0569369369369372,-0.25829108039666826,-0.9125899414784527,2.0207985846774053
253,3.0689089089089094,-0.26103943513616334,-0.9258747184105282,2.0246693367534436
254,3.080880880880881,-0.2637751910913431,-0.9391915818680813,2.0285363360647315
255,3.092852852852853,-0.26649845393925975,-0.9525404393646314,2.0323995935010664
256,3.104824824824825,-0.26920932807238235,-0.9659211989468881,2.036259119918642
257,3.1167967967967973,-0.2719079166190457,-0.9793337691901678,2.0401149261397853
258,3.128768768768769,-0.27459432146349944,-0.992778059193875,2.043967022952706
259,3.140740740740741,-0.2772686432655579,-1.0062539785770042,2.0478154211112543
260,3.152712712712713,-0.27993098147986845,-1.0197614374737056,2.051660131334686
261,3.1646846846846852,-0.28258143437480854,-1.0333003465289146,2.0555011643074597
262,3.176656656656657,-0.28522009905100976,-1.0468706168940005,2.0593385306790273
263,3.1886286286286287,-0.2878470714595337,-1.06047216022251,2.0631722410636546
264,3.200600600600601,-0.29046244641968494,-1.07410488866589,2.06700230604023
265,3.212572572572573,-0.29306631763649715,-1.0877687148693331,2.07082873615211
266,3.224544544544545,-0.29565877771787497,-1.1014635519676166,2.0746515419069635
267,3.2365165165165166,-0.29823991819141515,-1.1151893135810147,2.078470733776627
268,3.248488488488489,-0.300809829521275,-1.1289459138132203,2.08228632219807
269,3.260460460460461,-0.30336860112294206,-1.1427332672397306,2.0860983175690393
270,3.2724324324324328,-0.30591632138116953,-1.1565512889148584,2.0899067302540595
271,3.2844044044044045,-0.30845307766424623,-1.1703998943607752,2.0937115705804006
272,3.2963763763763767,-0.31097895633960776,-1.1842789995653193,2.097512848838928
273,3.308348348348349,-0.31349404278884935,-1.1981885209781673,2.1013105752840167
274,3.3203203203203207,-0.31599842142245793,-1.21212837550704,2.105104760133474
275,3.3322922922922924,-0.31849217569427524,-1.2260984805139612,2.1088954135684723
276,3.3442642642642646,-0.32097538811569143,-1.2400987538115444,2.11268254573349
277,3.356236236236237,-0.32344814026957447,-1.2541291136592925,2.1164661667362368
278,3.3682082082082085,-0.3259105128239587,-1.268189478760019,2.120246286647642
279,3.3801801801801803,-0.328362585545468,-1.282279768256212,2.12402291550178
280,3.3921521521521525,-0.33080443731250675,-1.2963999017265067,2.1277960632958623
281,3.4041241241241247,-0.3332361461282051,-1.3105497991821524,2.1315657399901986
282,3.4160960960960964,-0.3356577891331372,-1.3247293810635485,2.1353319555081804
283,3.428068068068068,-0.33806944261780647,-1.3389385682368007,2.1390947197362715
284,3.4400400400400404,-0.34047118203490767,-1.3531772819903043,2.1428540425239917
285,3.4520120120120126,-0.3428630820113743,-1.3674454440313948,2.146609933683925
286,3.4639839839839843,-0.34524521636020744,-1.381742976483002,2.1503624029917185
287,3.475955955955956,-0.34761765809209816,-1.3960698018803601,2.1541114601860922
288,3.4879279279279283,-0.34998047942684246,-1.410425843167739,2.1578571149688552
289,3.4998998998999005,-0.3523337518045571,-1.4248110236952167,2.1615993770049244
290,3.511871871871872,-0.35467754589669986,-1.4392252672154922,2.1653382559223484
291,3.523843843843844,-0.3570119316168926,-1.453668497880706,2.169073761312337
292,3.535815815815816,-0.3593369781315635,-1.4681406402393369,2.1728059027293
293,3.5477877877877884,-0.36165275387039725,-1.482641619233085,2.1765346896908775
294,3.55975975975976,-0.3639593265366087,-1.4971713601938148,2.1802601316779864
295,3.571731731731732,-0.366256763117037,-1.511729788840515,2.183982238134865
296,3.583703703703704,-0.36854512989207294,-1.5263168312763247,2.1877010184691312
297,3.5956756756756763,-0.3708244924454037,-1.5409324139855198,2.1914164820518223
298,3.607647647647648,-0.3730949156736049,-1.555576463830607,2.1951286382174637
299,3.6196196196196198,-0.3753564637955624,-1.57024890804941,2.198837496264133
300,3.631591591591592,-0.3776092003617338,-1.5849496742521731,2.2025430654535136
301,3.643563563563564,-0.37985318826325504,-1.5996786904187135,2.2062453550109637
302,3.655535535535536,-0.38208848974089693,-1.614435884895613,2.2099443741255995
303,3.6675075075075076,-0.3843151663938679,-1.6292211863934276,2.213640131950363
304,3.67947947947948,-0.3865332791884665,-1.644034523983893,2.2173326376020914
305,3.691451451451452,-0.38874288846659727,-1.6588758270972195,2.2210219001616074
306,3.703423423423424,-0.3909440539541367,-1.6737450255193518,2.2247079286737916
307,3.7153953953953955,-0.3931368347691707,-1.6886420493893246,2.228390732147683
308,3.7273673673673677,-0.39532128943008427,-1.7035668291965687,2.2320703195565472
309,3.73933933933934,-0.39749747586352857,-1.718519295778312,2.2357466998379842
310,3.7513113113113117,-0.3996654514122485,-1.7334993803169478,2.239419881894007
